X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT5G25190	1.27	3.03	23.37	25.42	1.34	2.13
AT5G25195	0	0	0	0	0	0
AT5G25200	0	0	0	0.15	0	0.16
AT5G25205	0	0	0	0	0	0
AT5G25210	11.87	18.83	32.51	27.12	25.77	27.45
AT5G25220	18.94	27.04	13.91	15.2	26.9	35.36
AT5G25230	0.16	0.22	0.05	0	0.27	0.41
AT5G25240	2.24	2.9	12.72	11.69	5.99	6.36
AT5G25250	0.22	0.61	4.76	20.87	0.6	0.49
AT5G25260	0	0	1.17	6.77	0.18	0.2
AT5G25265	17.42	27.07	33.33	38.2	31.69	39.19
AT5G25270	9.55	14.5	16.73	13.19	16.69	16.5
AT5G25280	58.94	90.09	173.63	96.34	116.76	126.24
AT5G25290	0.72	0.75	0	0.13	0.67	0.97
AT5G25300	0	0	0	0	0	0.06
AT5G25305	0	0	0	0	0	0
AT5G25310	0.08	0.16	0	0	0.06	0.26
AT5G25320	2.29	1.97	0	0	1.21	3.42
AT5G25330	0	0	0	0	0	0
AT5G25340	10.49	17.28	0.66	2.41	3.57	6.87
AT5G25350	8.3	14.68	54.98	44.01	10.35	9.8
AT5G25360	11.2	19.24	18.23	14.86	22.38	23.36
AT5G25370	0	0.1	0.06	0.11	0	0.15
AT5G25380	0.33	1.06	0.24	0	1.42	1.27
AT5G25390	5.89	6.11	0.17	0.18	8.45	13.45
AT5G25400	2.07	2.26	0	0	1.76	3.51
AT5G25410	0	0	0	0	0	0
AT5G25415	0	0	0	0	0.09	0
AT5G25420	0	0	0	0	0.08	0
AT5G25425	1.01	1.01	0	0	0.39	0.33
AT5G25430	0.41	1.72	0	0.07	0.13	0.17
AT5G25440	1.49	2.47	14.71	23.8	3.8	3.37
AT5G25450	0.82	0.73	0.16	0.35	1.14	0.79
AT5G25451	0	0	0.25	0	0	0.28
AT5G25460	88.88	134.27	76.2	58.66	101.35	138.65
AT5G25470	1.39	4.02	0	0.14	3.4	3.69
AT5G25475	15.44	29.52	1.17	0.83	38.24	40.89
AT5G25480	2.05	3.46	2.11	1.41	3.94	4.23
AT5G25490	3.63	6.79	0.24	0.46	6.43	4.3
AT5G25500	0.52	1.87	1.21	0.79	1.9	2.17
AT5G25510	8.78	13	6.08	4.47	13.13	14.52
AT5G25520	4.29	8.25	8.88	6.36	8.9	10.53
AT5G25530	3.12	1.69	0	0	1.5	0.97
AT5G25540	17.75	27.78	24.02	28.02	36.94	42.58
AT5G25550	2.69	2.36	0	0	1.84	4.35
AT5G25560	20.9	35.29	17.67	12.2	30.23	34.28
AT5G25570	8.98	16.96	2.16	1.14	19.69	21.69
AT5G25580	3.66	4.85	0.3	0.11	6.53	4.75
AT5G25585	0	0	0	0	0	0
AT5G25590	5.42	9.54	0.62	0.54	13.64	11.96
AT5G25600	0.13	0	0	0	0	0
AT5G25610	70.64	107.86	151.47	284.92	105.19	205.97
AT5G25615	0	0	0	0	0	0
AT5G25620	3.12	3.35	1.1	0.7	3.13	3.9
AT5G25625	0	0	0	0	0	0
AT5G25630	19	22.44	43.41	33.92	23.56	31.66
AT5G25640	0.12	0.25	0	0.16	0.1	0.16
AT5G25750	0	0	0	0	0	0
AT5G25754	9.69	11.22	5.17	7.09	11	9.38
AT5G25755	0.54	0.78	0.17	0.37	1.46	1.2
AT5G25756	0	0.71	0.47	0	0.55	0.48
AT5G25757	15.7	31.41	17.52	14.53	38.24	43.4
AT5G25760	25.14	32.81	23.89	18.05	44.97	47.55
AT5G25770	2.78	6.29	5.58	7.91	7.93	10.58
AT5G25780	7.21	12.12	5.03	5.08	10.45	11.3
AT5G25790	0.9	1.58	2.42	0.84	2.1	1.51
AT5G25800	2.49	4.11	1.15	1.67	4.02	4.44
AT5G25810	0.09	0.2	0.23	0.49	0.69	0.51
AT5G25820	0.57	1.04	0.52	0.76	0.47	1.27
AT5G25830	3.29	5.43	0.39	0.1	4.69	5.59
AT5G25840	0.68	1.97	1.16	2.28	1.43	2.29
AT5G25850	0	0	0	0	0.07	0
AT5G25860	0	0	0	0	0	0
AT5G25870	0	0	0	0	0	0
AT5G25880	4	3.97	0	0	2.45	5.35
AT5G25890	3.56	5.26	2.72	2.64	5.38	5.32
AT5G25900	8.62	12.11	5.37	4.33	15.03	19.36
AT5G25910	0	0.05	0.5	0.8	0.12	0.1
AT5G25920	0	0	0	0	0	0.09
AT5G25930	0.46	0.48	2.27	2.49	0.83	0.38
AT5G25940	37.69	61.38	32.14	37.15	68.84	94.27
AT5G25950	0.65	0.17	0	0	0.54	0.78
AT5G25955	0	0	0	0	0	0
AT5G25960	0	0	0	0	0	0
AT5G25970	0	0	0	0	0	0
AT5G25980	627.72	924.21	343.27	190.57	1027.98	1386.73
AT5G25990	1.3	0.6	4.56	0.69	0	2.03
AT5G25995	2.74	4.45	7.5	8.65	4.46	5.14
AT5G26000	451.39	628.04	591.24	294.25	612.14	896.23
AT5G26010	0.17	0	0.53	0.79	0.42	0.29
AT5G26015	0	0	0	0	0	0
AT5G26020	0	0	0	0	0	0
AT5G26030	11.05	16.07	10.77	19.54	10.5	10.43
AT5G26038	18.59	4.99	0	26.16	5.7	4.78
AT5G26040	3.13	4.21	11.57	5.88	5.38	5.72
AT5G26050	0	0	0	0	0	0
AT5G26060	16.13	24.14	0.21	0	6.93	15.51
AT5G26070	0	0	0	0	0	0
AT5G26080	0	0	0	0	0	0
AT5G26090	0	0	0	0	0.07	0.08
AT5G26100	0	0.29	0	0	0	0
AT5G26110	10.29	13.95	6.57	8.65	17.11	19.74
AT5G26120	0.05	0.17	0	0	0	0
AT5G26130	0	0	0	0	0	0
AT5G26140	0	0	0	0	0	0
AT5G26146	0.33	0.52	0	0	0.13	0.13
AT5G26147	0	0	0	0	0	0
AT5G26150	0.65	0.6	0	0	0.25	0.35
AT5G26160	0.85	1.79	0.69	0.78	1.67	2.89
AT5G26170	0.73	2.39	0.15	4.23	2.36	1.47
AT5G26180	3.15	6.11	2.26	2.97	6.69	6.86
AT5G26190	0	0	0	0	0.06	0.09
AT5G26200	2.03	3.08	10.16	7.76	3.23	3.82
AT5G26210	35.2	49.82	14.49	17.25	57.49	55.47
AT5G26220	3.45	2.51	1.69	3.4	2.62	3.88
AT5G26230	11.37	18.32	4.8	1.47	19.64	22.61
AT5G26233	0	0	0	0	0	0
AT5G26236	0	0.03	0	0	0	0.04
AT5G26240	4.12	6.73	5.89	2.89	6.03	7.92
AT5G26250	0	0.16	0	0	0	0.15
AT5G26260	0	0	0	0.21	0.06	0
AT5G26262	0	0	0	0	0	0
AT5G26270	0	0	0	0	0	0
AT5G26280	0	0	0.12	0	0	0
AT5G26283	0	0.04	0.11	0	0.07	0
AT5G26286	0	0	0	0	0	0
AT5G26290	0	0	0	0	0	0
AT5G26300	0	0	0	0.14	0	0.07
AT5G26310	0.07	0.5	0	0	0.34	0.19
AT5G26320	0	0	0	0	0.08	0
AT5G26330	1.36	0.99	1.32	1.4	1.98	2.38
AT5G26340	5.16	9.58	40.44	52.87	4.81	9.76
AT5G26345	0	0.04	0	0	0	0
AT5G26350	0	0	0	0	0	0
AT5G26360	43.58	63.84	25.4	28.89	67.82	75.09
AT5G26570	13.94	20.24	48.63	17.86	18.75	21.86
AT5G26580	0	0	0	0	0	0
AT5G26582	0	0	0	0	0.03	0.05
AT5G26590	0	0	0	0	0	0
AT5G26594	0	0	0	0	0.61	0.26
AT5G26600	5.07	10.61	5.32	3.89	15.7	16.65
AT5G26610	12.83	18.32	15.8	12.9	21.74	21.6
AT5G26617	0	0	0	0	0	0
AT5G26618	0	0	0	0	0	0
AT5G26620	0	0	0	0	0	0
AT5G26622	16.7	18.5	13.85	10.62	26.92	24.96
AT5G26630	0.85	1.92	0.81	0	4.08	3.63
AT5G26640	0	0	0	0	0	0
AT5G26642	0	0	0	0	0	0
AT5G26650	0	0	0	0	0	0.07
AT5G26660	2.56	2.62	0	0	2.3	3.68
AT5G26667	36.04	57.13	24.36	36.7	66.39	85.34
AT5G26670	5.49	8.24	1.38	1.52	8.89	9.81
AT5G26673	0	0.61	0	0	0	0
AT5G26680	5.22	8.7	1.24	2.03	10.69	10.11
AT5G26690	0.72	1.34	0.83	12.45	2.63	0.95
AT5G26692	47.48	68.89	0.99	0	18.47	31.77
AT5G26700	93.02	126.31	0.93	1.84	34.29	51.5
AT5G26710	11.43	22.47	7.89	9.23	22.57	23.51
AT5G26717	14.37	19.98	0	0	1.56	9.7
AT5G26720	3	6.17	6.51	3.83	7.48	9.14
AT5G26730	12.61	27.46	0	0	33.16	47.51
AT5G26731	4.05	9.98	0.46	0.98	11.59	13.98
AT5G26740	8.61	13.33	7	5.33	16.75	18.66
AT5G26742	73.56	96.83	110.66	99.84	100.64	97.31
AT5G26749	3.8	7.83	1.39	2.18	8.03	9.47
AT5G26751	22.31	40.06	23.11	22.31	45	49.61
AT5G26760	4.84	6.06	7.16	4.52	8.23	9.26
AT5G26770	2.83	4.36	5.13	6.22	5.45	7.5
AT5G26775	0	0	0	0	0	0
AT5G26780	8.76	16.25	11.2	8.85	14.15	15.84
AT5G26790	1.84	2.91	0	0.42	2.81	3.13
AT5G26800	40.88	59.43	16.48	19.99	73.62	81.19
AT5G26805	0	0	0	0	0	0
AT5G26810	0.11	0.12	0	0	0	0
AT5G26820	11.82	14.63	16.98	11.59	15.52	18.41
